,area_type,location,total_sqft,bath,balcony,price,BHK
30,3,Yelahanka,2100 - 2850,4.0,0.0,186.0,4
56,0,Devanahalli,3010 - 3410,2.0,2.0,192.0,4
81,0,Hennur Road,2957 - 3450,2.0,2.0,224.5,4
122,3,Hebbal,3067 - 8156,4.0,0.0,477.0,4
137,3,8th Phase JP Nagar,1042 - 1105,2.0,0.0,54.005,2
165,3,Sarjapur,1145 - 1340,2.0,0.0,43.49,2
188,3,KR Puram,1015 - 1540,2.0,0.0,56.8,2
224,3,Devanahalli,1520 - 1740,2.0,2.0,74.82,3
410,3,Kengeri,34.46Sq. Meter,1.0,0.0,18.5,1
549,3,Hennur Road,1195 - 1440,2.0,0.0,63.77,2
648,0,Arekere,4125Perch,9.0,2.0,265.0,9
661,3,Yelahanka,1120 - 1145,2.0,0.0,48.13,2
669,3,JP Nagar,4400 - 6640,2.0,2.0,375.0,5
672,0,Bettahalsoor,3090 - 5002,4.0,0.0,445.0,4
702,3,JP Nagar,4400 - 6800,2.0,2.0,548.5,5
772,3,Banashankari Stage VI,1160 - 1195,2.0,0.0,59.935,2
775,0,Basavanagara,1000Sq. Meter,2.0,1.0,93.0,1
801,3,JP Nagar,4000 - 5249,2.0,2.0,453.0,4
850,3,Bannerghatta Road,1115 - 1130,2.0,0.0,58.935,2
872,3,Singapura Village,1100Sq. Yards,2.0,2.0,45.0,2
886,3,Chandapura,520 - 645,1.0,0.0,15.135,1
927,3,Thanisandra,1000 - 1285,2.0,0.0,43.415,2
941,3,Whitefield,3606 - 5091,2.0,2.0,304.0,4
959,3,Kammasandra,650 - 665,1.0,0.0,18.41,1
990,3,Sarjapur,633 - 666,1.0,0.0,17.535,1
1019,2,Marathi Layout,5.31Acres,1.0,0.0,110.0,1
1086,2,Narasapura,30Acres,2.0,2.0,29.5,2
1178,3,Yelahanka,1445 - 1455,3.0,0.0,65.255,3
1183,3,Magadi Road,884 - 1116,2.0,0.0,46.5,2
1187,3,Thanisandra,850 - 1093,2.0,0.0,36.435,2
1267,3,Yelahanka,1440 - 1884,2.0,2.0,67.98,3
1400,3,Chamrajpet,716Sq. Meter,9.0,1.0,296.0,9
1484,1,Hebbal,547.34 - 827.31,2.0,0.0,42.72,2
1542,3,Sarjapur  Road,580 - 650,1.0,0.0,17.835,1
1614,3,Sarjapur  Road,3425 - 3435,6.0,0.0,228.5,4
1643,3,Talaghattapura,1804 - 2273,3.0,0.0,120.0,3
1683,3,Old Madras Road,3630 - 3800,6.0,0.0,224.5,4
1686,3,Whitefield,660 - 670,2.0,2.0,28.585,1
1694,3,JP Nagar,4000 - 5249,4.0,0.0,314.5,4
1712,2,Singena Agrahara,1500Sq. Meter,3.0,1.0,95.0,3
1724,3,Thanisandra,620 - 933,2.0,2.0,48.145,1
1743,3,Hosa Road,142.61Sq. Meter,3.0,1.0,115.0,3
1765,3,Binny Pete,2695 - 2940,2.0,2.0,204.0,4
1821,2,Sarjapur,1574Sq. Yards,3.0,1.0,76.0,3
1852,3,Yelahanka,3450 - 3472,2.0,2.0,173.0,4
2088,3,Yeshwanthpur,1250 - 1305,2.0,0.0,95.815,2
2128,3,Kanakpura Road,670 - 980,1.0,0.0,36.29,1
2228,1,KR Puram,1005.03 - 1252.49,3.0,0.0,47.405,3
2265,3,Old Madras Road,3630 - 3800,6.0,0.0,200.5,4
2301,3,Hosa Road,1004 - 1204,2.0,0.0,36.43,2
2310,3,Whitefield,361.33Sq. Yards,4.0,2.0,270.0,4
2396,3,Balagere,645 - 936,1.0,0.0,41.9,1
2431,3,EPIP Zone,2710 - 3360,5.0,0.0,200.0,4
2500,3,Jakkur,2249.81 - 4112.19,2.0,2.0,260.5,4
2563,3,Rajaji Nagar,3436 - 3643,2.0,2.0,424.5,4
2575,3,Whitefield,2830 - 2882,5.0,0.0,145.5,4
2587,3,Tumkur Road,596 - 804,1.0,0.0,30.09,1
2713,3,KR Puram,1255 - 1863,3.0,0.0,69.315,3
2716,3,JP Nagar,1300 - 1405,2.0,0.0,93.865,2
2881,0,Volagerekallahalli,117Sq. Yards,2.0,2.0,38.0,2
2916,3,Thanisandra,934 - 1437,2.0,0.0,58.68,2
2920,3,Mysore Road,980 - 1030,2.0,0.0,35.175,2
2944,3,Kudlu Gate,1564 - 1850,2.0,2.0,99.745,3
2998,3,Sarjapur  Road,1446 - 1506,2.0,2.0,98.94,3
3174,3,Jakkur,2249.81 - 4112.19,4.0,0.0,260.5,4
3215,3,KR Puram,1070 - 1315,2.0,0.0,51.22,2
3228,0,Dodda Banaswadi,3040Sq. Meter,5.0,1.0,140.0,5
3285,2,Whitefield,500Sq. Yards,4.0,2.0,378.0,4
3356,3,Yelahanka,2806 - 3019,6.0,0.0,125.5,4
3364,3,Whitefield,613 - 648,1.0,0.0,32.79,1
3370,3,Kanakpura Road,1430 - 1630,2.0,2.0,66.4,3
3468,3,Yeshwanthpur,704 - 730,2.0,0.0,49.475,2
3544,3,Hennur Road,1482 - 1846,2.0,2.0,93.865,3
3598,3,Haralur Road,2805 - 3565,2.0,2.0,175.0,4
3862,3,Jigani,3293 - 5314,2.0,2.0,226.0,4
3890,3,Tumkur Road,1210 - 1477,3.0,0.0,57.76,3
3947,0,Sarjapur  Road,3369 - 3464,6.0,0.0,143.0,4
3984,3,Uttarahalli,1125 - 1500,3.0,0.0,51.19,3
4113,3,BTM Layout,167Sq. Meter,3.0,2.0,10.0,3
4122,3,Tumkur Road,1076 - 1199,2.0,0.0,48.905,2
4190,1,Kanakpura Road,381 - 535,1.0,0.0,19.695,1
4210,3,Malleshwaram,2215 - 2475,2.0,2.0,293.0,3
4226,3,Whitefield,524 - 894,1.0,0.0,34.385,1
4289,3,Yeshwanthpur,540 - 670,1.0,0.0,41.745,1
4293,0,Bannerghatta Road,315Sq. Yards,5.0,2.0,260.0,4
4346,3,Whitefield,1650 - 2538,2.0,2.0,113.19,3
4497,3,Iblur Village,2725 - 3250,5.0,0.0,191.0,4
4843,3,Bhoganhalli,1974 - 2171,2.0,2.0,111.0,4
4884,3,Electronic City Phase II,888 - 1290,2.0,0.0,32.67,2
4894,3,Bommanahalli,1360 - 1890,2.0,2.0,87.72,3
4995,3,Hebbal,2466 - 2856,2.0,2.0,226.5,3
5179,3,Rachenahalli,660 - 700,1.0,0.0,32.64,1
5285,3, Rachenahalli,385 - 440,1.0,0.0,19.8,1
5374,3,Varthur Road,770 - 841,2.0,0.0,19.33,2
5382,3,Whitefield,524 - 894,1.0,0.0,34.735,1
5453,2,Kannur,3Cents,6.0,3.0,75.0,6
5464,3,KR Puram,1310 - 1615,2.0,2.0,62.81,3
5498,0,Chandapura,1782 - 2000,2.0,2.0,66.165,4
5537,0,Frazer Town,188.89Sq. Yards,3.0,1.0,180.0,3
5599,3,Hormavu,1469 - 1766,3.0,0.0,73.595,3
